First node,Second node,Tension,Support
"игра","диск",1,92
"игра","интерфейс",0.967476,93
"игра","озвучка",0.887009,89
"жизнь","ощущение",0.881664,138
"жизнь","сила",0.865102,175
"жизнь","отношение",0.855564,121
"жизнь","любовь",0.847628,151
"жизнь","мысль",0.822222,113
"язык","озвучка",0.817673,94
"язык","диск",0.788311,89
"игра","издание",0.737987,92
"язык","интерфейс",0.735256,88
"группа","заказ",0.725795,99
"игра","заказ",0.708073,97
"игра","память",0.682938,96
"память","диск",0.668164,89
"жизнь","желание",0.650902,115
"друг","разговор",0.647346,92
"жизнь","намерение",0.647194,115
"жизнь","дело",0.626152,151
"память","озвучка",0.61569,87
"язык","издание",0.615014,91
"выход","диск",0.610987,79
"память","интерфейс",0.605946,86
"издание","диск",0.593463,88
"выход","интерфейс",0.592206,80
"бизнес","предприниматель",0.58971,106
"игра","монтаж",0.582045,87
"выход","озвучка",0.580482,79
"жизнь","душа",0.570543,95
"издание","озвучка",0.564121,88
"издание","интерфейс",0.564121,88
"жизнь","дорога",0.562059,143
"игра","выход",0.560067,96
"монтаж","диск",0.554608,79
"бизнес","малыйбизнес",0.535164,55
"жизнь","горе",0.5278,75
"жизнь","действие",0.524873,110
"язык","память",0.519812,90
"монтаж","интерфейс",0.51748,78
"монтаж","озвучка",0.507874,77
"жизнь","проблема",0.507637,122
"выход","издание",0.506851,84
"игра","игрок",0.502216,101
"ребёнок","родитель",0.498876,69
"жизнь","сознание",0.498146,68
"память","издание",0.496502,88
"жизнь","семья",0.49578,103
"жизнь","разговор",0.490537,81
"игра","папка",0.488109,44
"игра","язык",0.480029,98
"диск","озвучка",0.473785,89
"диск","интерфейс",0.470252,88
"жизнь","сердце",0.458842,88
"жизнь","тело",0.458511,83
"жизнь","страдание",0.455874,77
"жизнь","ребёнок",0.451451,136
"ссылка","малыйбизнес",0.449653,51
"язык","папка",0.448406,43
"друг","доктор",0.447228,82
"интерфейс","озвучка",0.447088,88
"ребёнок","взрослый",0.441823,44
"друг","консультация",0.441761,68
"жизнь","болезнь",0.439605,71
"монтаж","папка",0.437405,44
"предприниматель","предпринимательство",0.431981,83
"жизнь","радость",0.429702,62
"издание","папка",0.425298,44
"язык","монтаж",0.424196,78
"память","папка",0.423397,43
"женщина","мужчина",0.422449,119
"жизнь","обстоятельство",0.420669,55
"игра","репак",0.420074,33
"жизнь","причина",0.417821,73
"система","репак",0.417216,33
"жизнь","друг",0.415594,163
"жизнь","обида",0.412918,37
"жизнь","проявление",0.412709,36
"язык","репак",0.411053,33
"монтаж","издание",0.410617,78
"кабинет","малыйбизнес",0.407927,56
"жизнь","страх",0.405771,90
"ребёнок","семья",0.404076,92
"выход","память",0.403962,80
"жизнь","работа",0.401694,165
