Keyword,Significance,Support,Frequency
"абзац",0.103714,2,2
"абонемент",0.094089,3,3
"аборт",0.154029,2,3
"абрикос",0.118051,5,5
"абстракционизм",0.023386,2,2
"абсурд",0.275107,4,4
"абсцесс",0.053912,4,7
"абьюз",0.013884,2,3
"аванпост",0.022598,6,9
"аванс",0.119124,3,5
"авантюрист",0.038926,2,2
"авантюристка",0.013429,2,2
"аварийный сигнал",0.932499,3,3
"авария",1.201537,12,15
"аватарка",0.033029,3,3
"авиакомпания",0.329928,3,5
"авиамониторинг",0.012424,1,2
"авиаперелет",0.029756,2,2
"авиация",0.178401,2,2
"авитаминоз",0.021736,1,2
"авокадо",0.041565,6,7
"авто",2.384056,26,28
"автобиография",0.080776,4,4
"автобус",1.405788,13,19
"автовладелец",0.229357,3,5
"автоворонка",0.013429,2,2
"автограф",0.091516,2,2
"автодорога",0.110772,1,2
"автокатастрофа",0.04888,3,3
"автомат",1.040066,10,14
"автоматизация",0.614383,10,10
"автоматизм",0.032864,2,2
"автооплата",0.012424,1,2
"автоплатеж",0.017055,2,9
"автопортрет",0.032864,2,2
"автор",10.113657,108,149
"авторадио",0.020121,2,2
"авторизация",0.054895,2,6
"авторитет",1.313799,14,16
"автосалон",0.109105,3,3
"автосинхронизация",0.012969,1,3
"автостраховщик",0.08486,3,4
"автошкола",0.087297,2,2
"агава",0.012424,1,2
"агат",0.022583,1,4
"агенство",0.03592,2,2
"агент",2.764296,31,33
"агентство",2.767639,26,41
"агни",0.017552,2,2
"агрегатор",0.187915,6,10
"агрессия",1.336081,15,16
"адаптация",1.689742,21,25
"адаптер",0.045427,2,3
"адвокат",1.201537,12,15
"аддикт",0.019602,3,11
"аддикция",0.022726,2,7
"адениум",0.01194,1,2
"админ",0.12101,6,7
"администратор",0.494384,6,6
"администраторша",0.012424,1,2
"администрация",1.191464,11,18
"администрирование",0.146973,3,3
"адонис",0.015782,2,2
"адреналин",0.344922,7,8
"адрес",2.741128,30,39
"адресат",0.263168,5,7
"адресник",0.013429,1,4
"ажиотаж",0.193918,3,3
"азартная игра",6.764485,5,5
"айд",0.016857,4,4
"айфон",0.249291,7,7
"академик",0.315547,3,5
"академия",1.23941,17,17
"акация",0.016441,1,2
"акваклуб",0.013833,1,5
"акварелист",0.020286,6,6
"акварель",0.149135,4,4
"аквариум",0.058433,2,2
"акватинта",0.013429,2,2
"акватория",0.198283,3,3
"аквафаб",0.015143,3,3
"акк",0.013429,2,2
"аккаунт",3.481259,47,67
"аккорд",0.186701,5,5
"аккредитация",0.179913,3,3
"аккумулятор",0.221678,4,4
"акне",0.013429,2,2
"акрил",0.135522,2,2
"акселератор",0.120867,15,21
"аксессуар",1.644049,23,26
"акт",0.852882,9,11
"актив",2.252796,20,34
"активация",0.20723,7,7
"активизация",0.105137,2,2
"активист",3.770644,35,59
"активность",5.324832,58,65
"актуализация",0.078906,3,3
"актуальность",0.501804,7,8
"актёр",8.014403,72,119
